BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,ADU/Legalization Units,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BMR Reporting Year,BlockLot,PPTS Project ID
2.00209E+11,149 PANAMA ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,4/4/2005,4/4/2005,0,0,0,0,0,1,FALSE,7,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,5/5/2004,5/17/2004,RH-1,,2005,7178012,
2.00012E+11,3215 FOLSOM ST,DEMOLISH A ONE STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,4/6/2005,4/6/2005,0,0,0,0,0,-1,FALSE,9,Bernal Heights,11 - Bernal Heights,,6,Full Building Permit,3/12/2004,3/12/2004,RH-2,,2005,5524065,2002.0948
2.00012E+11,3215 FOLSOM ST,ERECT A THREE STORY TWO UNIT RESIDENTIAL BLDG,0,2,2,2,2,0,4/6/2005,4/6/2005,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,3/12/2004,3/12/2004,RH-2,,2005,5524065,2002.0948
2.00206E+11,2341 JACKSON ST,"DWELLING UNIT MERGER FROM 3 UNITS TO 1;RMVE 2 KITCHENS @UPPER LEVEL,RMVE EXTERIOR STAIR @WEST SIDE",3,2,1,-2,-2,0,1/3/2005,1/3/2005,0,0,0,0,0,-2,FALSE,2,Pacific Heights,2 - Marina,,3,Site Permit,4/7/2003,4/8/2003,RH-2,,2005,0605025A,2002.0808
2.00007E+11,3151 SACRAMENTO ST,"CONSTRUCTION OF A (4) FOUR DWELLING UNIT ON TOP OF AN EXISTING COMMUNITY PARKING GARAGE, THREE NEW R",0,4,4,4,4,0,1/4/2005,1/4/2005,0,0,0,0,0,4,FALSE,2,Pacific Heights,2 - Marina,,3,Full Building Permit,8/22/2000,8/22/2000,RH-2,,2005,1023031,2001.0545
2.00206E+11,938 CENTRAL AV,2 STORY ADDITION FOR 2 NEW DWELLING UNITS REAR ADDITION TO EXIST DWELLING UNIT.,1,3,3,2,2,0,1/5/2005,1/5/2005,0,0,0,0,0,2,FALSE,2,Lone Mountain/USF,5 - Western Addition,,3,Site Permit,12/13/2002,12/13/2002,RH-3,,2005,1150026,2004.041
2.00208E+11,225 HANOVER ST,ERECT A 2-STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,1/10/2005,1/10/2005,0,0,0,0,0,1,FALSE,11,Excelsior,12 - South Central,,2,Site Permit,10/23/2003,10/23/2003,RH-1,,2005,6494074,
2.00202E+11,1318 GIRARD ST,"LEGALIZE (E) ROOMS @ GROUND FLOOR (FAMILYRM,BEDRM,BATHRM & STORAGE)COMPLY W/N.O.V. 200120939",2,1,1,-1,-1,0,1/12/2005,1/12/2005,0,0,0,0,0,-1,FALSE,10,Visitacion Valley,12 - South Central,Visitacion Valley,3,Full Building Permit,4/16/2002,4/16/2002,RH-1,,2005,6197002,
9826331S,807 COLUMBUS AV,2 STORY VERTICAL ADDITION OF 6 RESIDENTIAL UNITS,0,6,6,6,6,0,1/12/2005,1/12/2005,0,0,0,0,0,6,FALSE,3,Russian Hill,3 - Northeast,,3,Site Permit,5/7/2001,,NCD-NORTH BEACH,,2005,0074003,2004.0263
2.00101E+11,1323 41ST AV,erect a new 3story 2 family dwelling unit,0,2,2,2,2,0,1/14/2005,1/14/2005,0,0,0,0,0,2,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,2,Site Permit,6/20/2003,6/20/2003,RH-2,,2005,1796003,2001.1102
2.00303E+11,1532 TREAT AV,"DEMOLISH 2 STORY, 2 UNIT RESIDENTIAL BLDG",2,0,0,-2,-2,0,1/20/2005,1/20/2005,0,0,0,0,0,-2,FALSE,9,Bernal Heights,11 - Bernal Heights,,6,Full Building Permit,8/11/2004,8/11/2004,RH-2,,2005,5524006,Multiple
2.00206E+11,2020 CLEMENT ST,NEW BUILDING - 3 DWELLING UNITS. 4 STORIES BUILDING.,0,3,3,3,3,0,1/24/2005,1/24/2005,0,0,0,0,0,3,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,6/13/2003,6/20/2003,NCD-OUTER CLEMENT,,2005,1412017,2002.1001
2.00212E+11,535 41ST AV,TO ERECT A NEW 4 STORY 2 FAMILY DWELLING UNIT,0,2,2,2,2,0,1/26/2005,1/26/2005,0,0,0,0,0,2,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,11/7/2003,12/1/2003,RH-2,,2005,1503006,2003.0524
2.00406E+11,559 37TH AV,RESPONSE TO VIOLATION COMPLAINT #200344733 TO LEGLIZE G/F CONSTRUCTION W/O PERMIT,2,2,0,-2,-2,0,1/27/2005,1/27/2005,0,0,0,0,0,-2,FALSE,1,Outer Richmond,1 - Richmond,,3,Full Building Permit,10/22/2004,10/22/2004,RH-2,,2005,1507012,
2.00003E+11,3352 CLAY ST,BUILDING RETURNED TO 2 UNITS THE LAST APPROVED USE PER BOARD OF APPEALS,5,2,2,-3,-3,0,1/28/2005,1/28/2005,0,0,0,0,0,-3,FALSE,2,Presidio Heights,1 - Richmond,,3,Full Building Permit,3/26/2004,3/26/2004,RH-1,,2005,0997010,2000.1005
2.00203E+11,1600 WEBSTER ST,ERECT A 48 DWELLING UNITS 5 STORY BLDG,0,48,48,48,48,0,1/28/2005,1/28/2005,0,0,0,2,2,46,FALSE,5,Japantown,5 - Western Addition,,2,Site Permit,1/24/2003,3/11/2003,NCD-JAPANTOWN,Incl: On-Site BMR,2005,0685051,2003.0689
2.00205E+11,1628 LARKIN ST,"DEMOLISH SINGLE FAMILY DWELLING, 2 STORIES, NO BASEMENTS.",1,0,0,-1,-1,0,1/31/2005,1/31/2005,0,0,0,0,0,-1,FALSE,3,Russian Hill,3 - Northeast,,6,Full Building Permit,9/29/2004,9/29/2004,RM-3,,2005,0217017,2005.039
2.00412E+11,1055 MONTEREY BL,"REMOVE ILLEGAL UNTI FROM FAMILY ROOM AT GARAGE LEVEL-CAP ALL UTILTIES AT SOURCE REMOVE SINK, STOVE,",1,1,0,-1,-1,0,1/31/2005,1/31/2005,0,0,0,0,0,-1,FALSE,7,West of Twin Peaks,13 - Ingleside,,8,Full Building Permit,12/7/2004,12/7/2004,RH-1(D),,2005,3106016,
2.00004E+11,325 LAWTON ST,1 STORY REAR ADDITION & 1 STORY VERTICAL ADDITION,1,2,2,1,1,0,2/1/2005,2/1/2005,0,0,0,0,0,1,FALSE,7,Inner Sunset,14 - Inner Sunset,,3,Full Building Permit,1/12/2001,1/12/2001,RH-2,,2005,1934001E,2000.942
2.00007E+11,318 27TH ST,DEMOLISH A ONE STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,2/1/2005,2/1/2005,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,10/26/2001,10/26/2001,RH-2,,2005,6579009,
2.00608E+11,16 HALE ST,"TO ERECT NEW 3-STORY, 2 FAMILY DWELLING BUILDING.",0,2,2,2,2,0,12/9/2008,12/9/2008,0,0,0,0,0,2,FALSE,9,Portola,12 - South Central,,2,Site Permit,2/13/2008,2/13/2008,RM-1,,2008,5880022,
2.00204E+11,34 LELAND AV,ERECT A 3 STORIES BLDG WITH 2 DWELLING UNITS AND CHILD CARE,0,2,2,2,2,0,2/8/2006,2/8/2006,0,0,0,0,0,2,FALSE,10,Visitacion Valley,12 - South Central,Visitacion Valley,2,Site Permit,11/23/2004,11/29/2004,NC-2,,2006,6248010,
2.01308E+11,89 BELGRAVE AV,"TO ERECT 3 STORY, 1 BASEMENT, SINGLE FAMILY DWELLING.",0,1,1,1,1,0,9/28/2018,9/28/2018,0,0,0,0,0,1,FALSE,8,Inner Sunset,7 - Central,,2,Site Permit,4/6/2015,10/19/2015,RH-1(D),,2018,2688072,2014.0163
2.00211E+11,203 OGDEN AV,CONVERSION FROM DUPLEX TO SINGLE FAMILY HOUSE.INTERIOR REMODELON 1ST FL&2ND FL.NEW SHED DORMER AT E.,2,1,1,-1,-1,0,2/3/2005,2/3/2005,0,0,0,0,0,-1,FALSE,9,Bernal Heights,11 - Bernal Heights,,3,Site Permit,4/13/2004,4/16/2004,RH-1,,2005,5724011,2003.0222
2.00501E+11,3031 20TH ST,FOR RECORD KEEPING PURPOSE TO ESTABLISH LEGAL USE AND OCCUPANCY AS 2 FAMILY DWELLING,2,2,3,1,1,0,2/3/2005,2/3/2005,0,0,0,0,0,1,FALSE,9,Mission,8 - Mission,Mission (EN),8,Full Building Permit,1/11/2005,1/11/2005,RM-1,,2005,4085034,
2.00205E+11,1708 ANZA ST,DEMOLISH A ONE STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,2/4/2005,2/4/2005,0,0,0,0,0,-1,FALSE,1,Inner Richmond,1 - Richmond,,6,Full Building Permit,10/13/2004,10/13/2004,RM-1,,2005,1536015,2002.1258
2.00205E+11,1708 ANZA ST,DEMOLISH A TWO STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,2/4/2005,2/4/2005,0,0,0,0,0,-1,FALSE,1,Inner Richmond,1 - Richmond,,6,Full Building Permit,10/7/2004,10/7/2004,RM-1,,2005,1536015,2002.1259
2.00212E+11,542 08TH AV,DEMOLISH A TWO STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,2/7/2005,2/7/2005,0,0,0,0,0,-1,FALSE,1,Inner Richmond,1 - Richmond,,6,Full Building Permit,4/22/2004,4/22/2004,RH-2,,2005,1550040,2003.0227
9722338S,132 LAIDLEY ST,ERECT 3 STORY SINGLE FAMILY DWELLING UNIT,0,1,1,1,1,0,2/7/2005,2/7/2005,0,0,0,0,0,1,FALSE,8,Glen Park,7 - Central,,2,Site Permit,7/10/2003,7/10/2003,RH-1,,2005,6665010,2000.137
2.00207E+11,949 SANCHEZ ST,ERECT A 2 STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,2/11/2005,2/11/2005,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,2,Site Permit,5/27/2004,6/8/2004,RH-2,,2005,3627031A,2002.129
2.0011E+11,185 BROAD ST,TO ERECT A NEW 3-STORY 2 FAMILY DWELLING,0,2,2,2,2,0,2/14/2005,2/14/2005,0,0,0,0,0,2,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,4/9/2003,6/27/2003,RH-2,,2005,7113023,2002.0702
2.0011E+11,187 BROAD ST,TO ERECT A NEW 3-STORY 2 FAMILY DWELLING,0,2,2,2,2,0,2/14/2005,2/14/2005,0,0,0,0,0,2,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,4/9/2003,6/27/2003,RH-2,,2005,7113023,2002.0702
2.00211E+11,3976 25TH ST,DEMOLISH A TWO STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,2/15/2005,2/15/2005,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,2/15/2005,2/15/2005,RH-2,,2005,6536019,2003.0165
2.00309E+11,36 LAIDLEY ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,2/18/2005,2/18/2005,0,0,0,0,0,1,FALSE,8,Glen Park,7 - Central,,2,Site Permit,7/19/2004,7/19/2004,RH-1,,2005,7538007,
2.0021E+11,40 MONTEZUMA ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,2/24/2005,2/24/2005,0,0,0,0,0,1,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,10/22/2003,10/23/2003,RH-1,,2005,5520034,2002.1085
2.00005E+11,1350 THOMAS AV,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,2/25/2005,2/25/2005,0,0,0,0,0,1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,9/30/2004,9/30/2004,RH-1,,2005,4791007,Multiple
2.00005E+11,1352 THOMAS AV,ERECT A TWO STORIES SINGLE FAMILY DWELLING,0,1,1,1,1,0,2/25/2005,2/25/2005,0,0,0,0,0,1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,9/30/2004,9/30/2004,RH-1,,2005,4791007,Multiple
2.00208E+11,26 WATT AV,ERECT A 2-STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,3/2/2005,3/2/2005,0,0,0,0,0,1,FALSE,11,Excelsior,12 - South Central,,2,Site Permit,10/23/2003,10/23/2003,RH-1,,2005,6494081,
2.00411E+11,326 BOCANA ST,REMOVE BATHROOM AT REAR. REMOVE ILLEGAL UNIT - HIS NOV.,2,1,1,-1,-1,0,3/3/2005,3/3/2005,0,0,0,0,0,-1,FALSE,9,Bernal Heights,11 - Bernal Heights,,8,Full Building Permit,11/30/2004,11/30/2004,RH-2,,2005,5676005,
2.00409E+11,365 GREEN ST,"REMOVE WALL & DOOR TO MERGE 2 UNITS INTO 1 UNIT,DEMO (E)KITCHEN CABINETS @ 2ND UNIT",2,1,1,-1,-1,0,3/7/2005,3/7/2005,0,0,0,0,0,-1,FALSE,3,North Beach,3 - Northeast,,3,Full Building Permit,3/3/2005,3/3/2005,RM-1,,2005,0133037,2004.1045
2.00002E+11,330 02ND AV,ERECT A THREE STORY THREE UNIT RESIDENTIAL BLDG,0,3,3,3,3,0,3/8/2005,3/8/2005,0,0,0,0,0,3,FALSE,1,Inner Richmond,1 - Richmond,,2,Site Permit,8/30/2002,9/4/2002,RM-1,,2005,1433027,2001.0303
2.00209E+11,139 RANDALL ST,ERECT A 2 STOREYS TWO UNIT RESIENTIAL BLDG,0,2,2,2,2,0,3/8/2005,3/8/2005,0,0,0,0,0,2,FALSE,8,Glen Park,7 - Central,,2,Site Permit,11/14/2003,11/21/2003,RH-2,,2005,6663036,2003.0075
2.00106E+11,1 GRAND VIEW AV,ERECT A 3 STORY SINGLE FAMILY UNIT,0,1,1,1,1,0,3/9/2005,3/9/2005,0,0,0,0,0,1,FALSE,8,Twin Peaks,7 - Central,,2,Site Permit,6/30/2003,7/3/2003,RH-2,,2005,2715011,2001.0799
2.00308E+11,2339 21ST AV,HORIZONTAL ADDITION-ADDITION OF ONE BEDROOM UNIT AT DOWN STAIRS GARAGE LEVEL. ADDN INTO BACKYARD AT,1,2,2,1,1,0,3/10/2005,3/10/2005,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,3,Site Permit,3/26/2004,4/2/2004,RH-2,,2005,2350007,
2.00407E+11,2339 21ST AV,CLARIFICATION THAT THE NUMBER OF DWELLING UNITS AFTER ALTERATION IS 2 UNITS.,1,2,2,1,1,0,3/10/2005,3/10/2005,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,8,Full Building Permit,7/13/2004,7/13/2004,RH-2,,2005,2350007,
2.00307E+11,2045 QUESADA AV,ERECT A  3 STORY SINGLE FAMILY DWELLING (SUBJECT TO APPROVAL OF LOT SPLIT),0,1,1,1,1,0,3/11/2005,3/11/2005,0,0,0,0,0,1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,2/18/2004,2/18/2004,RH-1,,2005,5335041,
2.01801E+11,35 HATTIE ST,"TO ERECT A TYPE V 3-STORY, NO BASEMENT, TWO FAMILY DWELLING UNIT.",0,2,2,2,2,0,11/22/2022,11/22/2022,0,0,0,0,0,2,FALSE,8,Castro/Upper Market,7 - Central,,2,Site Permit,5/29/2018,12/11/2018,RH-2,,2022,2657021,
2.00408E+11,1867 DONNER AV,REMOVE 2ND UNIT PER ATTACHED VIOLATION AT G/F RMS BEHIND GARAGE NEW USE OF G/F AS STORAGE AND GARAGE,2,1,1,-1,-1,0,3/14/2005,3/14/2005,0,0,0,0,0,-1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,8,Full Building Permit,8/18/2004,8/18/2004,RH-1,,2005,5440A022,
2.00205E+11,604 RHODE ISLAND ST,DEMOLISH A THREE STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,3/16/2005,3/16/2005,0,0,0,0,0,-1,FALSE,10,Potrero Hill,9 - South of Market,Showplace Square/Potrero Hill (EN),6,Full Building Permit,6/23/2004,6/23/2004,RH-2,,2005,4030002,2002.0639
2.00208E+11,1411 NOE ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,3/16/2005,3/16/2005,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,2,Site Permit,4/16/2004,4/19/2004,RH-2,,2005,6591023,2002.0963
